id,name,form_name,分類,カテゴリー,タイプ1,タイプ2,高さ,重さ,HP,攻撃,防御,特攻,特防,素早さ,合計,特性1,特性2,夢特性,hiragana,romaji
33,ニドリーノ,通常,どくばりポケモン,通常,どく,,0.9,19.5,61,72,57,55,55,65,365,どくのトゲ,とうそうしん,はりきり,にどりーの,nidorino
34,ニドキング,通常,ドリルポケモン,通常,どく,じめん,1.4,62,81,102,77,85,75,85,505,どくのトゲ,とうそうしん,ちからずく,にどきんぐ,nidokingu
35,ピッピ,通常,ようせいポケモン,通常,フェアリー,,0.6,7.5,70,45,48,60,65,35,323,メロメロボディ,マジックガード,フレンドガード,ぴっぴ,pippi
36,ピクシー,通常,ようせいポケモン,通常,フェアリー,,1.3,40,95,70,73,95,90,60,483,メロメロボディ,マジックガード,てんねん,ぴくしー,pikushi
37,ロコン,通常,きつねポケモン,通常,ほのお,,0.6,9.9,38,41,40,50,65,65,299,もらいび,,ひでり,ろこん,rokon
38,キュウコン,通常,きつねポケモン,通常,ほのお,,1.1,19.9,73,76,75,81,100,100,505,もらいび,,ひでり,きゅうこん,kyukon
39,プリン,通常,ふうせんポケモン,通常,ノーマル,フェアリー,0.5,5.5,115,45,20,45,25,20,270,メロメロボディ,かちき,フレンドガード,ぷりん,purin
40,プクリン,通常,ふうせんポケモン,通常,ノーマル,フェアリー,1,12,140,70,45,85,50,45,435,メロメロボディ,かちき,おみとおし,ぷくりん,pukurin
41,ズバット,通常,こうもりポケモン,通常,どく,ひこう,0.8,7.5,40,45,35,30,40,55,245,せいしんりょく,,すりぬけ,ずばっと,zubatto
42,ゴルバット,通常,こうもりポケモン,通常,どく,ひこう,1.6,55,75,80,70,65,75,90,455,せいしんりょく,,すりぬけ,ごるばっと,gorubatto
43,ナゾノクサ,通常,ざっそうポケモン,通常,くさ,どく,0.5,5.4,45,50,55,75,65,30,320,ようりょくそ,,にげあし,なぞのくさ,nazonokusa
44,クサイハナ,通常,ざっそうポケモン,通常,くさ,どく,0.8,8.6,60,65,70,85,75,40,395,ようりょくそ,,あくしゅう,くさいはな,kusaihana
45,ラフレシア,通常,フラワーポケモン,通常,くさ,どく,1.2,18.6,75,80,85,110,90,50,490,ようりょくそ,,ほうし,らふれしあ,rafureshia
46,パラス,通常,きのこポケモン,通常,むし,くさ,0.3,5.4,35,70,55,45,55,25,285,ほうし,かんそうはだ,しめりけ,ぱらす,parasu
47,パラセクト,通常,きのこポケモン,通常,むし,くさ,1,29.5,60,95,80,60,80,30,405,ほうし,かんそうはだ,しめりけ,ぱらせくと,parasekuto
48,コンパン,通常,こんちゅうポケモン,通常,むし,どく,1,30,60,55,50,40,55,45,305,ふくがん,いろめがね,にげあし,こんぱん,konpan
49,モルフォン,通常,どくがポケモン,通常,むし,どく,1.5,12.5,70,65,60,90,75,90,450,りんぷん,いろめがね,ミラクルスキン,もるふぉん,morufuon
50,ディグダ,通常,もぐらポケモン,通常,じめん,,0.2,0.8,10,55,25,35,45,95,265,すながくれ,ありじごく,すなのちから,でぃぐだ,deiguda
51,ダグトリオ,通常,もぐらポケモン,通常,じめん,,0.7,33.3,35,100,50,50,70,120,425,すながくれ,ありじごく,すなのちから,だぐとりお,dagutorio
52,ニャース,通常,ばけねこポケモン,通常,ノーマル,,0.4,4.2,40,45,35,40,40,90,290,ものひろい,テクニシャン,きんちょうかん,にゃーす,nyaーsu
53,ペルシアン,通常,シャムネコポケモン,通常,ノーマル,,1,32,65,70,60,65,65,115,440,じゅうなん,テクニシャン,きんちょうかん,ぺるしあん,perushian
54,コダック,通常,あひるポケモン,通常,みず,,0.8,19.6,50,52,48,65,50,55,320,しめりけ,ノーてんき,すいすい,こだっく,kodakku
55,ゴルダック,通常,あひるポケモン,通常,みず,,1.7,76.6,80,82,78,95,80,85,500,しめりけ,ノーてんき,すいすい,ごるだっく,gorudakku
56,マンキー,通常,ぶたざるポケモン,通常,かくとう,,0.5,28,40,80,35,35,45,70,305,やるき,いかりのつぼ,まけんき,まんきー,manki
57,オコリザル,通常,ぶたざるポケモン,通常,かくとう,,1,32,65,105,60,60,70,95,455,やるき,いかりのつぼ,まけんき,おこりざる,okorizaru
58,ガーディ,通常,こいぬポケモン,通常,ほのお,,0.7,19,55,70,45,70,50,60,350,いかく,もらいび,せいぎのこころ,がーでぃ,gadei
59,ウインディ,通常,でんせつポケモン,通常,ほのお,,1.9,155,90,110,80,100,80,95,555,いかく,もらいび,せいぎのこころ,ういんでぃ,uindei
60,ニョロモ,通常,おたまポケモン,通常,みず,,0.6,12.4,40,50,40,40,40,90,300,ちょすい,しめりけ,すいすい,にょろも,nyoromo
61,ニョロゾ,通常,おたまポケモン,通常,みず,,1,20,65,65,65,50,50,90,385,ちょすい,しめりけ,すいすい,にょろぞ,nyorozo
62,ニョロボン,通常,おたまポケモン,通常,みず,かくとう,1.3,54,90,95,95,70,90,70,510,ちょすい,しめりけ,すいすい,にょろぼん,nyorobon
63,ケーシィ,通常,ねんりきポケモン,通常,エスパー,,0.9,19.5,25,20,15,105,55,90,310,シンクロ,せいしんりょく,マジックガード,けーしぃ,keshi
64,ユンゲラー,通常,ねんりきポケモン,通常,エスパー,,1.3,56.5,40,35,30,120,70,105,400,シンクロ,せいしんりょく,マジックガード,ゆんげらー,yungera
65,フーディン,通常,ねんりきポケモン,通常,エスパー,,1.5,48,55,50,45,135,95,120,500,シンクロ,せいしんりょく,マジックガード,ふーでぃん,fudein
66,ワンリキー,通常,かいりきポケモン,通常,かくとう,,0.8,19.5,70,80,50,35,35,35,305,こんじょう,ノーガード,ふくつのこころ,わんりきー,wanriki
67,ゴーリキー,通常,かいりきポケモン,通常,かくとう,,1.5,70.5,80,100,70,50,60,45,405,こんじょう,ノーガード,ふくつのこころ,ごーりきー,goriki
68,カイリキー,通常,かいりきポケモン,通常,かくとう,,1.6,130,90,130,80,65,85,55,505,こんじょう,ノーガード,ふくつのこころ,かいりきー,kairiki
69,マダツボミ,通常,フラワーポケモン,通常,くさ,どく,0.7,4,50,75,35,70,30,40,300,ようりょくそ,,くいしんぼう,まだつぼみ,madatsubomi
70,ウツドン,通常,ハエとりポケモン,通常,くさ,どく,1,6.4,65,90,50,85,45,55,390,ようりょくそ,,くいしんぼう,うつどん,utsudon
71,ウツボット,通常,ハエとりポケモン,通常,くさ,どく,1.7,15.5,80,105,65,100,70,70,490,ようりょくそ,,くいしんぼう,うつぼっと,utsubotto
72,メノクラゲ,通常,くらげポケモン,通常,みず,どく,0.9,45.5,40,40,35,50,100,70,335,クリアボディ,ヘドロえき,あめうけざら,めのくらげ,menokurage
73,ドククラゲ,通常,くらげポケモン,通常,みず,どく,1.6,55,80,70,65,80,120,100,515,クリアボディ,ヘドロえき,あめうけざら,どくくらげ,dokukurage
74,イシツブテ,通常,がんせきポケモン,通常,いわ,じめん,0.4,20,40,80,100,30,30,20,300,いしあたま,がんじょう,すながくれ,いしつぶて,ishitsubute
75,ゴローン,通常,がんせきポケモン,通常,いわ,じめん,1,105,55,95,115,45,45,35,390,いしあたま,がんじょう,すながくれ,ごろーん,goron
76,ゴローニャ,通常,メガトンポケモン,通常,いわ,じめん,1.4,300,80,120,130,55,65,45,495,いしあたま,がんじょう,すながくれ,ごろーにゃ,goronya
77,ポニータ,通常,ひのうまポケモン,通常,ほのお,,1,30,50,85,55,65,65,90,410,にげあし,もらいび,ほのおのからだ,ぽにーた,ponita
78,ギャロップ,通常,ひのうまポケモン,通常,ほのお,,1.7,95,65,100,70,80,80,105,500,にげあし,もらいび,ほのおのからだ,ぎゃろっぷ,gyaroppu
79,ヤドン,通常,まぬけポケモン,通常,みず,エスパー,1.2,36,90,65,65,40,40,15,315,どんかん,マイペース,さいせいりょく,やどん,yadon
80,ヤドラン,通常,やどかりポケモン,通常,みず,エスパー,1.6,78.5,95,75,110,100,80,30,490,どんかん,マイペース,さいせいりょく,やどらん,yadoran
81,コイル,通常,じしゃくポケモン,通常,でんき,はがね,0.3,6,25,35,70,95,55,45,325,じりょく,がんじょう,アナライズ,こいる,koiru
82,レアコイル,通常,じしゃくポケモン,通常,でんき,はがね,1,60,50,60,95,120,70,70,465,じりょく,がんじょう,アナライズ,れあこいる,reakoiru
83,カモネギ,通常,かるがもポケモン,通常,ノーマル,ひこう,0.8,15,52,90,55,58,62,60,377,するどいめ,せいしんりょく,まけんき,かもねぎ,kamonegi
84,ドードー,通常,ふたごどりポケモン,通常,ノーマル,ひこう,1.4,39.2,35,85,45,35,35,75,310,にげあし,はやおき,ちどりあし,どーどー,dodo
85,ドードリオ,通常,みつごどりポケモン,通常,ノーマル,ひこう,1.8,85.2,60,110,70,60,60,110,470,にげあし,はやおき,ちどりあし,どーどりお,dodorio
86,パウワウ,通常,あしかポケモン,通常,みず,,1.1,90,65,45,55,45,70,45,325,あついしぼう,うるおいボディ,アイスボディ,ぱうわう,pauwau
87,ジュゴン,通常,あしかポケモン,通常,みず,こおり,1.7,120,90,70,80,70,95,70,475,あついしぼう,うるおいボディ,アイスボディ,じゅごん,jugon
88,ベトベター,通常,ヘドロポケモン,通常,どく,,0.9,30,80,80,50,40,50,25,325,あくしゅう,ねんちゃく,どくしゅ,べとべたー,betobeta
89,ベトベトン,通常,ヘドロポケモン,通常,どく,,1.2,30,105,105,75,65,100,50,500,あくしゅう,ねんちゃく,どくしゅ,べとべとん,betobeton
90,シェルダー,通常,2まいがいポケモン,通常,みず,,0.3,4,30,65,100,45,25,40,305,シェルアーマー,スキルリンク,ぼうじん,しぇるだー,sherudaー
91,パルシェン,通常,2まいがいポケモン,通常,みず,こおり,1.5,132.5,50,95,180,85,45,70,525,シェルアーマー,スキルリンク,ぼうじん,ぱるしぇん,parushen
92,ゴース,通常,ガスじょうポケモン,通常,ゴースト,どく,1.3,0.1,30,35,30,100,35,80,310,ふゆう,,,ごーす,gosu
93,ゴースト,通常,ガスじょうポケモン,通常,ゴースト,どく,1.6,0.1,45,50,45,115,55,95,405,ふゆう,,,ごーすと,gosuto
94,ゲンガー,通常,シャドーポケモン,通常,ゴースト,どく,1.5,40.5,60,65,60,130,75,110,500,のろわれボディ,,,げんがー,genga
95,イワーク,通常,いわへびポケモン,通常,いわ,じめん,8.8,210,35,45,160,30,45,70,385,いしあたま,がんじょう,くだけるよろい,いわーく,iwaku
96,スリープ,通常,さいみんポケモン,通常,エスパー,,1,32.4,60,48,45,43,90,42,328,ふみん,よちむ,せいしんりょく,すりーぷ,suripu
97,スリーパー,通常,さいみんポケモン,通常,エスパー,,1.6,75.6,85,73,70,73,115,67,483,ふみん,よちむ,せいしんりょく,すりーぱー,suripa
98,クラブ,通常,さわがにポケモン,通常,みず,,0.4,6.5,30,105,90,25,25,50,325,かいりきバサミ,シェルアーマー,ちからずく,くらぶ,kurabu
99,キングラー,通常,はさみポケモン,通常,みず,,1.3,60,55,130,115,50,50,75,475,かいりきバサミ,シェルアーマー,ちからずく,きんぐらー,kingura
100,ビリリダマ,通常,ボールポケモン,通常,でんき,,0.5,10.4,40,30,50,55,55,100,330,ぼうおん,せいでんき,ゆうばく,びりりだま,biriridama
101,マルマイン,通常,ボールポケモン,通常,でんき,,1.2,66.6,60,50,70,80,80,150,490,ぼうおん,せいでんき,ゆうばく,まるまいん,marumain
102,タマタマ,通常,たまごポケモン,通常,くさ,エスパー,0.4,2.5,60,40,80,60,45,40,325,ようりょくそ,,しゅうかく,たまたま,tamatama
103,ナッシー,通常,やしのみポケモン,通常,くさ,エスパー,2,120,95,95,85,125,75,55,530,ようりょくそ,,しゅうかく,なっしー,nasshi
104,カラカラ,通常,こどくポケモン,通常,じめん,,0.4,6.5,50,50,95,40,50,35,320,いしあたま,ひらいしん,カブトアーマー,からから,karakara
105,ガラガラ,通常,ほねずきポケモン,通常,じめん,,1,45,60,80,110,50,80,45,425,いしあたま,ひらいしん,カブトアーマー,がらがら,garagara
106,サワムラー,通常,キックポケモン,通常,かくとう,,1.5,49.8,50,120,53,35,110,87,455,じゅうなん,すてみ,かるわざ,さわむらー,sawamura
107,エビワラー,通常,パンチポケモン,通常,かくとう,,1.4,50.2,50,105,79,35,110,76,455,するどいめ,てつのこぶし,せいしんりょく,えびわらー,ebiwara
108,ベロリンガ,通常,なめまわしポケモン,通常,ノーマル,,1.2,65.5,90,55,75,60,75,30,385,マイペース,どんかん,ノーてんき,べろりんが,beroringa
109,ドガース,通常,どくガスポケモン,通常,どく,,0.6,1,40,65,95,60,45,35,340,ふゆう,かがくへんかガス,あくしゅう,どがーす,dogasu
110,マタドガス,通常,どくガスポケモン,通常,どく,,1.2,9.5,65,90,120,85,70,60,490,ふゆう,かがくへんかガス,あくしゅう,またどがす,matadogasu
111,サイホーン,通常,とげとげポケモン,通常,じめん,いわ,1,115,80,85,95,30,30,25,345,ひらいしん,いしあたま,すてみ,さいほーん,saihon
112,サイドン,通常,ドリルポケモン,通常,じめん,いわ,1.9,120,105,130,120,45,45,40,485,ひらいしん,いしあたま,すてみ,さいどん,saidon
113,ラッキー,通常,たまごポケモン,通常,ノーマル,,1.1,34.6,250,5,5,35,105,50,450,しぜんかいふく,てんのめぐみ,いやしのこころ,らっきー,rakki
114,モンジャラ,通常,ツルじょうポケモン,通常,くさ,,1,35,65,55,115,100,40,60,435,ようりょくそ,リーフガード,さいせいりょく,もんじゃら,monjara
115,ガルーラ,通常,おやこポケモン,通常,ノーマル,,2.2,80,105,95,80,40,80,90,490,はやおき,きもったま,せいしんりょく,がるーら,garura
116,タッツー,通常,ドラゴンポケモン,通常,みず,,0.4,8,30,40,70,70,25,60,295,すいすい,スナイパー,しめりけ,たっつー,tattsu
117,シードラ,通常,ドラゴンポケモン,通常,みず,,1.2,25,55,65,95,95,45,85,440,どくのトゲ,スナイパー,しめりけ,しーどら,shidora
118,トサキント,通常,きんぎょポケモン,通常,みず,,0.6,15,45,67,60,35,50,63,320,すいすい,みずのベール,ひらいしん,とさきんと,tosakinto
119,アズマオウ,通常,きんぎょポケモン,通常,みず,,1.3,39,80,92,65,65,80,68,450,すいすい,みずのベール,ひらいしん,あずまおう,azumaou
120,ヒトデマン,通常,ほしがたポケモン,通常,みず,,0.8,34.5,30,45,55,70,55,85,340,はっこう,しぜんかいふく,アナライズ,ひとでまん,hitodeman
121,スターミー,通常,なぞのポケモン,通常,みず,エスパー,1.1,80,60,75,85,100,85,115,520,はっこう,しぜんかいふく,アナライズ,すたーみー,sutami
122,バリヤード,通常,バリアーポケモン,通常,エスパー,フェアリー,1.3,54.5,40,45,65,100,120,90,460,ぼうおん,フィルター,テクニシャン,ばりやーど,bariyado
123,ストライク,通常,かまきりポケモン,通常,むし,ひこう,1.5,56,70,110,80,55,80,105,500,むしのしらせ,テクニシャン,ふくつのこころ,すとらいく,sutoraiku
124,ルージュラ,通常,ひとがたポケモン,通常,こおり,エスパー,1.4,40.6,65,50,35,115,95,95,455,どんかん,よちむ,かんそうはだ,るーじゅら,rujura
125,エレブー,通常,でんげきポケモン,通常,でんき,,1.1,30,65,83,57,95,85,105,490,せいでんき,,やるき,えれぶー,erebu
126,ブーバー,通常,ひふきポケモン,通常,ほのお,,1.3,44.5,65,95,57,100,85,93,495,ほのおのからだ,,やるき,ぶーばー,buba
127,カイロス,通常,くわがたポケモン,通常,むし,,1.5,55,65,125,100,55,70,85,500,かいりきバサミ,かたやぶり,じしんかじょう,かいろす,kairosu
128,ケンタロス,通常,あばれうしポケモン,通常,ノーマル,,1.4,88.4,75,100,95,40,70,110,490,いかく,いかりのつぼ,ちからずく,けんたろす,kentarosu
129,コイキング,通常,さかなポケモン,通常,みず,,0.9,10,20,10,55,15,20,80,200,すいすい,,びびり,こいきんぐ,koikingu
130,ギャラドス,通常,きょうあくポケモン,通常,みず,ひこう,6.5,235,95,125,79,60,100,81,540,いかく,,じしんかじょう,ぎゃらどす,gyaradosu
131,ラプラス,通常,のりものポケモン,通常,みず,こおり,2.5,220,130,85,80,85,95,60,535,ちょすい,シェルアーマー,うるおいボディ,らぷらす,rapurasu
132,メタモン,通常,へんしんポケモン,通常,ノーマル,,0.3,4,48,48,48,48,48,48,288,じゅうなん,,かわりもの,めたもん,metamon
133,イーブイ,通常,しんかポケモン,通常,ノーマル,,0.3,6.5,55,55,50,45,65,55,325,にげあし,てきおうりょく,きけんよち,いーぶい,ibui
134,シャワーズ,通常,あわはきポケモン,通常,みず,,1,29,130,65,60,110,95,65,525,ちょすい,,うるおいボディ,しゃわーず,shawazu
135,サンダース,通常,かみなりポケモン,通常,でんき,,0.8,24.5,65,65,60,110,95,130,525,ちくでん,,はやあし,さんだーす,sandasu
136,ブースター,通常,ほのおポケモン,通常,ほのお,,0.9,25,65,130,60,95,110,65,525,もらいび,,こんじょう,ぶーすたー,busuta
137,ポリゴン,通常,バーチャルポケモン*,通常,ノーマル,,0.8,36.5,65,60,70,85,75,40,395,トレース,ダウンロード,アナライズ,ぽりごん,porigon
138,オムナイト,通常,うずまきポケモン,通常,いわ,みず,0.4,7.5,35,40,100,90,55,35,355,すいすい,シェルアーマー,くだけるよろい,おむないと,omunaito
139,オムスター,通常,うずまきポケモン,通常,いわ,みず,1,35,70,60,125,115,70,55,495,すいすい,シェルアーマー,くだけるよろい,おむすたー,omusuta
140,カブト,通常,こうらポケモン,通常,いわ,みず,0.5,11.5,30,80,90,55,45,55,355,すいすい,カブトアーマー,くだけるよろい,かぶと,kabuto
141,カブトプス,通常,こうらポケモン,通常,いわ,みず,1.3,40.5,60,115,105,65,70,80,495,すいすい,カブトアーマー,くだけるよろい,かぶとぷす,kabutopusu
142,プテラ,通常,かせきポケモン,通常,いわ,ひこう,1.8,59,80,105,65,60,75,130,515,いしあたま,プレッシャー,きんちょうかん,ぷてら,putera
143,カビゴン,通常,いねむりポケモン,通常,ノーマル,,2.1,460,160,110,65,65,110,30,540,めんえき,あついしぼう,くいしんぼう,かびごん,kabigon
144,フリーザー,通常,れいとうポケモン,準伝説,こおり,ひこう,1.7,55.4,90,85,100,95,125,85,580,プレッシャー,,ゆきがくれ,ふりーざー,furiza
145,サンダー,通常,でんげきポケモン,準伝説,でんき,ひこう,1.6,52.6,90,90,85,125,90,100,580,プレッシャー,,せいでんき,さんだー,sanda
146,ファイヤー,通常,かえんポケモン,準伝説,ほのお,ひこう,2,60,90,100,90,125,85,90,580,プレッシャー,,ほのおのからだ,ふぁいやー,faiya
147,ミニリュウ,通常,ドラゴンポケモン,通常,ドラゴン,,1.8,3.3,41,64,45,50,50,50,300,だっぴ,,ふしぎなうろこ,みにりゅう,miniryu
148,ハクリュー,通常,ドラゴンポケモン,通常,ドラゴン,,4,16.5,61,84,65,70,70,70,420,だっぴ,,ふしぎなうろこ,はくりゅー,hakuryuー
149,カイリュー,通常,ドラゴンポケモン,通常,ドラゴン,ひこう,2.2,210,91,134,95,100,100,80,600,せいしんりょく,,マルチスケイル,かいりゅー,kairyuー
150,ミュウツー,通常,いでんしポケモン,伝説,エスパー,,2,122,106,110,90,154,90,130,680,プレッシャー,,きんちょうかん,みゅうつー,myutsu
151,ミュウ,通常,しんしゅポケモン,幻,エスパー,,0.4,4,100,100,100,100,100,100,600,シンクロ,,,みゅう,myu
152,チコリータ,通常,はっぱポケモン,通常,くさ,,0.9,6.4,45,49,65,49,65,45,318,しんりょく,,リーフガード,ちこりーた,chikorita
153,ベイリーフ,通常,はっぱポケモン,通常,くさ,,1.2,15.8,60,62,80,63,80,60,405,しんりょく,,リーフガード,べいりーふ,beirifu
154,メガニウム,通常,ハーブポケモン,通常,くさ,,1.8,100.5,80,82,100,83,100,80,525,しんりょく,,リーフガード,めがにうむ,meganiumu
155,ヒノアラシ,通常,ひねずみポケモン,通常,ほのお,,0.5,7.9,39,52,43,60,50,65,309,もうか,,もらいび,ひのあらし,hinoarashi
156,マグマラシ,通常,かざんポケモン,通常,ほのお,,0.9,19,58,64,58,80,65,80,405,もうか,,もらいび,まぐまらし,magumarashi
157,バクフーン,通常,かざんポケモン,通常,ほのお,,1.7,79.5,78,84,78,109,85,100,534,もうか,,もらいび,ばくふーん,bakufun
158,ワニノコ,通常,おおあごポケモン,通常,みず,,0.6,9.5,50,65,64,44,48,43,314,げきりゅう,,ちからずく,わにのこ,waninoko
159,アリゲイツ,通常,おおあごポケモン,通常,みず,,1.1,25,65,80,80,59,63,58,405,げきりゅう,,ちからずく,ありげいつ,arigeitsu
160,オーダイル,通常,おおあごポケモン,通常,みず,,2.3,88.8,85,105,100,79,83,78,530,げきりゅう,,ちからずく,おーだいる,odairu
161,オタチ,通常,みはりポケモン,通常,ノーマル,,0.8,6,35,46,34,35,45,20,215,にげあし,するどいめ,おみとおし,おたち,otachi
162,オオタチ,通常,どうながポケモン,通常,ノーマル,,1.8,32.5,85,76,64,45,55,90,415,にげあし,するどいめ,おみとおし,おおたち,ootachi
163,ホーホー,通常,ふくろうポケモン,通常,ノーマル,ひこう,0.7,21.2,60,30,30,36,56,50,262,ふみん,するどいめ,いろめがね,ほーほー,hoho
164,ヨルノズク,通常,ふくろうポケモン,通常,ノーマル,ひこう,1.6,40.8,100,50,50,86,96,70,452,ふみん,するどいめ,いろめがね,よるのずく,yorunozuku
165,レディバ,通常,いつつぼしポケモン,通常,むし,ひこう,1,10.8,40,20,30,40,80,55,265,むしのしらせ,はやおき,びびり,れでぃば,redeiba
166,レディアン,通常,いつつぼしポケモン,通常,むし,ひこう,1.4,35.6,55,35,50,55,110,85,390,むしのしらせ,はやおき,てつのこぶし,れでぃあん,redeian
167,イトマル,通常,いとはきポケモン,通常,むし,どく,0.5,8.5,40,60,40,40,40,30,250,むしのしらせ,ふみん,スナイパー,いとまる,itomaru
168,アリアドス,通常,あしながポケモン,通常,むし,どく,1.1,33.5,70,90,70,60,70,40,400,むしのしらせ,ふみん,スナイパー,ありあどす,ariadosu
169,クロバット,通常,こうもりポケモン,通常,どく,ひこう,1.8,75,85,90,80,70,80,130,535,せいしんりょく,,すりぬけ,くろばっと,kurobatto
170,チョンチー,通常,あんこうポケモン,通常,みず,でんき,0.5,12,75,38,38,56,56,67,330,ちくでん,はっこう,ちょすい,ちょんちー,chonchi
171,ランターン,通常,ライトポケモン,通常,みず,でんき,1.2,22.5,125,58,58,76,76,67,460,ちくでん,はっこう,ちょすい,らんたーん,rantan
172,ピチュー,通常,こねずみポケモン,通常,でんき,,0.3,2,20,40,15,35,35,60,205,せいでんき,,ひらいしん,ぴちゅー,pichuー
173,ピィ,通常,ほしがたポケモン,通常,フェアリー,,0.3,3,50,25,28,45,55,15,218,メロメロボディ,マジックガード,フレンドガード,ぴぃ,pii
174,ププリン,通常,ふうせんポケモン,通常,ノーマル,フェアリー,0.3,1,90,30,15,40,20,15,210,メロメロボディ,かちき,フレンドガード,ぷぷりん,pupurin
